DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
231706463,2023-02-28,2023-01-31,1245,Devonshire,THEFT OF IDENTITY,63,M,W,,Invest Cont,11000    BALBOA                       BL
220214664,2022-08-13,2022-08-13,1230,Rampart,BATTERY - SIMPLE ASSAULT,37,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1700    BEVERLY                      BL
220914472,2022-09-30,2022-09-28,1300,Van Nuys,THEFT PLAIN - PETTY ($950 & UNDER),28,M,W,,Invest Cont,7400 N  SEPULVEDA                    BL
230809155,2023-04-26,2023-04-21,0110,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,M,Z,,Invest Cont,600    LEVERING                     AV
230510525,2023-06-30,2023-06-30,0300,Harbor,BURGLARY FROM VEHICLE,58,M,W,,Invest Cont,1200 S  AVERILL                      AV
220211324,2022-06-03,2022-06-03,1910,Rampart,BATTERY - SIMPLE ASSAULT,46,M,W,STICK,Invest Cont,CAMBRIA
221011598,2022-07-14,2022-07-09,1030,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,18900    VOSE                         ST
230805677,2023-02-09,2023-02-09,0900,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1900 S  BEDFORD                      ST
231005109,2023-01-29,2023-01-29,1547,West Valley,BURGLARY,53,M,O,,Invest Cont,8200    RHEA                         AV
232011433,2023-06-11,2023-06-11,1600,Olympic,OTHER ASSAULT,32,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3100    WILSHIRE                     BL
231207974,2023-03-06,2023-03-06,1525,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,17,F,B,VERBAL THREAT,Invest Cont,2900 W  70TH                         ST
231908884,2023-05-05,2023-05-05,1900,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14500    POLK                         ST
220916580,2022-11-26,2022-11-26,1220,Van Nuys,BRANDISH WEAPON,25,M,H,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Adult Arrest,14000    RIVERSIDE                    DR
221012269,2022-08-01,2022-08-01,0739,West Valley,THEFT OF IDENTITY,30,F,H,,Invest Cont,6900    AMIGO                        AV
220221957,2022-12-20,2022-12-20,1200,Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,23,F,H,VERBAL THREAT,Adult Arrest,1200 S  ALVARADO                     ST
222018957,2022-10-11,2022-10-09,1903,Olympic,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",56,M,K,,Invest Cont,3400 W  3RD                          ST
220416104,2022-12-08,2022-12-07,0945,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),23,M,W,,Invest Cont,MULTNOMAH                    ST
221418045,2022-10-22,2022-10-22,1730,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",59,M,W,,Invest Cont,DELTA
222011958,2022-07-03,2022-07-03,2320,Olympic,BRANDISH WEAPON,31,M,B,ICE PICK,Invest Cont,3700    WILSHIRE                     BL
231806537,2023-02-18,2023-02-18,1620,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,M,H,MACHETE,Invest Cont,200 W  MANCHESTER                   AV
220817410,2022-11-18,2022-11-16,1305,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",32,F,H,,Invest Cont,11800    SANTA MONICA                 BL
230907416,2023-03-28,2023-03-24,1815,Van Nuys,BURGLARY FROM VEHICLE,53,M,B,,Invest Cont,14800    VENTURA                      BL
231709345,2023-05-08,2023-03-20,1500,Devonshire,THEFT OF IDENTITY,35,M,O,,Invest Cont,18500    COMMUNITY                    ST
220320717,2022-11-24,2022-11-24,1250,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,H,MACHETE,Invest Cont,PINAFORE
231804162,2023-01-04,2023-01-04,0310,Southeast,"BURGLARY, ATTEMPTED",58,F,H,,Invest Cont,2200 E  111TH                        ST
230112174,2023-05-11,2023-05-11,2030,Central,BURGLARY FROM VEHICLE,22,M,O,,Invest Cont,12TH
220613138,2022-07-13,2022-07-13,1740,Hollywood,BRANDISH WEAPON,42,M,B,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,ORANGE
220815803,2022-10-20,2022-10-20,0400,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11600    MONTANA                      AV
221714387,2022-09-30,2022-09-07,1250,Devonshire,THEFT OF IDENTITY,89,F,W,,Invest Cont,22200    JAMES ALAN CIR
221510818,2022-06-08,2022-06-08,1320,N Hollywood,OTHER ASSAULT,14,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7000    ETHEL                        AV
230105360,2023-01-21,2023-01-12,1750,Central,BIKE - STOLEN,27,M,A,,Invest Cont,800 N  ALAMEDA                      ST
221417084,2022-08-23,2022-08-23,0913,Pacific,BURGLARY FROM VEHICLE,36,M,H,,Invest Cont,5700 W  CENTURY                      BL
221420674,2022-11-15,2022-11-10,1435,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),31,F,A,,Invest Cont,HUGHES                       AV
230611604,2023-06-23,2023-06-21,1900,Hollywood,THEFT OF IDENTITY,20,F,H,,Invest Cont,5100    MARATHON                     ST
231109523,2023-05-29,2023-05-29,1025,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,31,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5600    IRVINGTON                    PL
220412003,2022-08-12,2022-08-12,2000,Hollenbeck,CRIMINAL THREATS - NO WEAPON DISPLAYED,93,F,H,VERBAL THREAT,Adult Other,4500    HOMER                        ST
232010087,2023-05-11,2023-05-10,1430,Olympic,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),56,F,A,,Invest Cont,JAMES M WOOD
220910191,2022-06-10,2022-06-09,1030,Van Nuys,EXTORTION,67,M,W,VERBAL THREAT,Invest Cont,7600    VAN NUYS                     BL
232007001,2023-03-15,2023-03-15,0100,Olympic,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34,F,A,,Invest Cont,300 S  VAN NESS                     AV
231504442,2023-01-12,2023-01-11,2230,N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),21,F,B,,Invest Cont,5300    LANKERSHIM                   BL
221514166,2022-08-25,2020-04-25,0815,N Hollywood,THEFT OF IDENTITY,57,F,W,,Invest Cont,4100    VANETTA                      PL
220126905,2022-12-22,2022-12-18,2000,Central,BURGLARY,21,M,O,,Invest Cont,1400 S  FIGUEROA                     ST
231404141,2023-01-01,2023-01-01,0930,Pacific,BATTERY - SIMPLE ASSAULT,52,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,WASHINGTON
221817317,2022-09-12,2022-09-11,2030,Southeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),24,F,H,,Invest Cont,200 W  CENTURY                      BL
231310046,2023-05-01,2023-04-20,2100,Newton,ARSON,29,F,H,,Invest Cont,1900 S  LOVELACE                     AV
230606173,2023-02-21,2023-02-21,0510,Hollywood,"BURGLARY, ATTEMPTED",26,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1300 N  DETROIT                      ST
231408422,2023-04-13,2023-04-13,0815,Pacific,INTIMATE PARTNER - SIMPLE ASSAULT,37,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,400 S  VENICE                       BL
230212235,2023-06-11,2023-06-11,1221,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",37,F,W,,Invest Cont,300 S  LA FAYETTE PARK              PL
230112070,2023-05-09,2023-05-09,1545,Central,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 W  COLLEGE                      ST
221417093,2022-09-29,2022-09-19,1500,Pacific,THEFT OF IDENTITY,76,F,W,,Invest Cont,200    LINCOLN                      BL
221000877,2022-09-15,2022-09-14,0620,West Valley,BURGLARY,50,M,H,,Invest Cont,8100    SHIRLEY                      AV
220410392,2022-06-30,2022-06-30,1745,Hollenbeck,BRANDISH WEAPON,32,M,H,SEMI-AUTOMATIC PISTOL,Invest Cont,500    GALLARDO                     ST
221914248,2022-09-10,2022-09-10,1030,Mission,BATTERY - SIMPLE ASSAULT,77,F,H,BLUNT INSTRUMENT,Invest Cont,8400    TOBIAS                       AV
220312465,2022-06-18,2022-06-18,1057,Southwest,TRESPASSING,38,M,B,,Adult Other,3700    EXPOSITION                   BL
221821516,2022-12-02,2022-12-02,1555,Southeast,THEFT OF IDENTITY,33,F,B,,Invest Cont,10700 S  CENTRAL                      AV
221322243,2022-12-11,2022-12-10,2300,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,21,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,BROADWAY
221012111,2022-07-27,2022-07-27,0415,West Valley,VIOLATION OF TEMPORARY RESTRAINING ORDER,39,F,W,,Adult Other,19400    VANOWEN                      ST
231109587,2023-05-31,2023-05-31,0815,Northeast,VIOLATION OF RESTRAINING ORDER,50,M,H,,Invest Cont,6300    CRESCENT                     ST
221312422,2022-06-04,2022-06-04,0530,Newton,OTHER ASSAULT,65,F,B,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,5100    AVALON                       BL
231909531,2023-05-21,2023-05-01,2135,Mission,THEFT OF IDENTITY,59,M,H,,Invest Cont,9000    TOBIAS                       AV
230705746,2023-02-09,2023-02-05,0455,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),30,M,W,,Invest Cont,1000 S  MANSFIELD                    AV
220220109,2022-11-13,2022-11-12,2200,Rampart,BATTERY - SIMPLE ASSAULT,31,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1600 W  12TH                         ST
220810538,2022-06-07,2022-06-06,1700,West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,F,W,,Invest Cont,1400    WARNALL                      AV
221615186,2022-12-15,2022-11-20,1430,Foothill,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,M,W,,Invest Cont,12200    REMINGTON                    ST
221414485,2022-08-01,2022-07-31,1800,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),57,M,W,,Invest Cont,28TH                         AV
230305577,2023-02-01,2023-02-01,0001,Southwest,THEFT OF IDENTITY,23,F,B,,Invest Cont,2400 W  48TH                         ST
221017997,2022-12-22,2022-12-22,1630,West Valley,TRESPASSING,43,M,O,,Invest Cont,6300    CANBY                        AV
220217471,2022-09-26,2022-09-26,1910,Rampart,VIOLATION OF RESTRAINING ORDER,33,F,H,,Adult Other,500 S  WESTLAKE                     AV
220315624,2022-08-24,2022-08-05,1200,Southwest,"BUNCO, GRAND THEFT",26,F,W,,Invest Cont,1200 W  36TH                         ST
230505562,2023-02-12,2023-02-12,0730,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,37,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1100 N  MARINE                       AV
220414048,2022-10-07,2022-10-07,0700,Hollenbeck,BATTERY - SIMPLE ASSAULT,67,M,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,5300    HYDE                         ST
231607626,2023-04-25,2023-04-23,1840,Foothill,BATTERY - SIMPLE ASSAULT,66,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,LAUREL CANYON
221916373,2022-11-02,2022-11-01,1235,Mission,THEFT OF IDENTITY,23,F,H,,Invest Cont,14400    BRAND                        BL
221718425,2022-12-22,2022-12-22,1330,Devonshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,18,F,H,VERBAL THREAT,Adult Other,16600    DEVONSHIRE                   ST
220716608,2022-11-15,2022-11-12,1200,Wilshire,THEFT OF IDENTITY,56,F,B,,Invest Cont,1200    CARMONA                      AV
231307391,2023-03-07,2023-03-07,1500,Newton,ROBBERY,32,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,CENTRAL                      AV
221917529,2022-12-02,2022-12-02,2330,Mission,VIOLATION OF RESTRAINING ORDER,28,F,H,,Invest Cont,14400    LAKESIDE                     ST
221225578,2022-12-17,2022-12-17,2235,77th Street,ARSON,59,F,B,,Invest Cont,8700 S  HARVARD                      BL
231209853,2023-04-09,2023-04-09,0001,77th Street,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),11,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1000 W  58TH                         PL
220714532,2022-09-25,2022-09-25,1330,Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,W,,Invest Cont,300 N  MANSFIELD                    AV
220714010,2022-09-11,2022-09-07,2000,Wilshire,BURGLARY FROM VEHICLE,43,M,W,,Invest Cont,AIRDROME                     ST
222117101,2022-11-26,2022-11-26,2245,Topanga,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,H,HAND GUN,Invest Cont,21900    VANOWEN                      ST
230507018,2023-03-24,2023-03-24,0930,Harbor,VIOLATION OF RESTRAINING ORDER,43,F,B,,Adult Arrest,400 W  17TH                         ST
230706576,2023-02-27,2023-02-27,2115,Wilshire,SHOTS FIRED AT INHABITED DWELLING,15,X,X,SEMI-AUTOMATIC PISTOL,Invest Cont,1800    HAUSER                       BL
221717925,2022-12-14,2022-12-14,0805,Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37,F,W,,Invest Cont,DEBRA
230905019,2023-01-29,2023-01-28,0700,Van Nuys,THEFT OF IDENTITY,31,F,W,,Invest Cont,6700    NAGLE                        AV
220414710,2022-10-26,2022-10-03,2245,Hollenbeck,BURGLARY FROM VEHICLE,29,M,W,,Invest Cont,MOULTON                      AV
220116906,2022-07-26,2022-07-26,0005,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,H,OTHER KNIFE,Invest Cont,WILSHIRE
230711369,2023-06-27,2023-06-27,2015,Wilshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,21,F,B,KITCHEN KNIFE,Invest Cont,1400 S  SYCAMORE                     AV
230111597,2023-05-01,2023-05-01,1010,Central,BATTERY - SIMPLE ASSAULT,31,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,600 S  FIGUEROA                     ST
230109370,2023-03-26,2023-03-21,1455,Central,THEFT OF IDENTITY,47,F,W,,Invest Cont,800 S  OLIVE                        ST
231304084,2023-01-02,2023-01-02,0300,Newton,VANDALISM - MISDEAMEANOR ($399 OR UNDER),67,F,B,,Invest Cont,1300 E  48TH                         ST
230910178,2023-06-04,2023-06-03,2210,Van Nuys,BURGLARY,65,M,O,,Invest Cont,5200    SYLMAR                       AV
220116409,2022-07-18,2022-07-17,2300,Central,VIOLATION OF RESTRAINING ORDER,68,M,B,,Invest Cont,900 E  6TH                          ST
221610659,2022-07-21,2022-05-04,1200,Foothill,THEFT OF IDENTITY,49,F,H,,Invest Cont,9300    EL DORADO                    AV
220413735,2022-09-30,2022-09-30,0810,Hollenbeck,INDECENT EXPOSURE,16,F,H,,Invest Cont,MARIETTA
221715431,2022-10-27,2022-08-16,1915,Devonshire,THEFT OF IDENTITY,63,F,O,,Invest Cont,10000    COZYCROFT                    AV
220113773,2022-06-07,2022-06-07,1635,Central,BATTERY - SIMPLE ASSAULT,48,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 N  ALAMEDA                      ST
231910205,2023-06-07,2023-06-06,2020,Mission,BATTERY - SIMPLE ASSAULT,13,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8300    VAN NUYS                     BL
230510393,2023-06-26,2023-06-25,2200,Harbor,VEHICLE - ATTEMPT STOLEN,59,M,W,,Invest Cont,900 S  WALKER                       AV
231811561,2023-06-06,2023-06-06,0506,Southeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36,M,H,,Invest Cont,600 E  89TH                         ST
231507833,2023-04-02,2023-04-02,1830,N Hollywood,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,H,VERBAL THREAT,Adult Other,11400    VANOWEN                      ST
230405810,2023-02-24,2023-02-24,1345,Hollenbeck,THROWING OBJECT AT MOVING VEHICLE,36,M,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,VALLEY
231711224,2023-06-12,2023-06-12,1500,Devonshire,INTIMATE PARTNER - SIMPLE ASSAULT,26,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,20900    PARTHENIA                    ST
230905641,2023-02-13,2023-01-29,1610,Van Nuys,THEFT OF IDENTITY,41,F,W,,Invest Cont,14900    VICTORY                      BL
232004222,2023-01-06,2023-01-06,2040,Olympic,BATTERY - SIMPLE ASSAULT,27,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,OLYMPIC
220216409,2022-09-12,2022-09-12,0005,Rampart,BATTERY - SIMPLE ASSAULT,65,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,VIRGIL
221517003,2022-11-04,2022-11-04,1415,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,H,BLUNT INSTRUMENT,Adult Other,11600    BURBANK                      BL
230113238,2023-05-29,2023-05-28,1800,Central,BURGLARY,34,F,A,,Invest Cont,1200 S  HILL                         ST
230804764,2023-01-17,2023-01-15,1800,West LA,BURGLARY FROM VEHICLE,49,F,O,,Invest Cont,800 S  WOOSTER                      ST
221818524,2022-10-04,2022-10-04,1630,Southeast,THEFT OF IDENTITY,20,F,B,,Invest Cont,10700 S  CENTRAL                      AV
220511140,2022-07-09,2022-07-09,2115,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,H,SEMI-AUTOMATIC RIFLE,Invest Cont,N  NEPTUNE                      AV
221114414,2022-09-25,2022-09-24,2100,Northeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),31,H,H,,Invest Cont,1900    CYPRESS                      AV
220101069,2022-12-12,2022-12-12,0720,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),44,F,H,,Invest Cont,200 S  SPRING                       ST
220113954,2022-06-10,2022-06-10,1610,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,CESAR E CHAVEZ
220216529,2022-09-12,2022-09-12,0915,Rampart,BURGLARY,35,M,W,,Adult Arrest,1000    WATERLOO                     ST
220116976,2022-07-27,2022-07-27,1720,Central,ROBBERY,24,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1ST                          ST
220217126,2022-09-20,2022-09-18,1800,Rampart,BURGLARY FROM VEHICLE,44,M,J,,Invest Cont,W  SUNSET                       BL
231805412,2023-01-28,2023-01-28,0630,Southeast,ROBBERY,38,M,H,SEMI-AUTOMATIC PISTOL,Invest Cont,10900    WILMINGTON                   AV
220513114,2022-08-30,2022-08-30,1450,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,53,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1500 E  DENNI                        ST
222015018,2022-09-15,2022-09-12,0215,Olympic,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,O,MACE/PEPPER SPRAY,Invest Cont,400 S  ALEXANDRIA                   AV
230805248,2023-01-30,2023-01-27,1700,West LA,BATTERY - SIMPLE ASSAULT,59,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,10700    CHALON                       RD
221011381,2022-07-08,2022-07-07,1100,West Valley,"BUNCO, GRAND THEFT",51,M,W,,Invest Cont,15700    MORRISON                     ST
231110104,2023-06-14,2023-03-30,1835,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),36,F,H,,Invest Cont,RIVERSIDE                    DR
221222411,2022-10-26,2022-10-26,1400,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,M,H,STRAIGHT RAZOR,Invest Cont,VERMONT                      AV
220817869,2022-12-08,2022-11-15,0005,West LA,THEFT OF IDENTITY,37,F,W,,Invest Cont,1200 N  BEVERLY GLEN                 BL
220316958,2022-09-16,2022-09-16,1441,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,B,,Invest Cont,1700 W  37TH                         ST
222012390,2022-07-17,2022-07-17,0630,Olympic,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,800 S  MARIPOSA                     AV
231808583,2023-04-04,2023-04-02,0130,Southeast,THEFT OF IDENTITY,27,F,B,,Invest Cont,9100    AVALON                       BL
221420394,2022-12-12,2022-12-11,0300,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",61,M,W,,Invest Cont,12700 W  JEFFERSON                    BL
230110576,2023-04-13,2023-04-13,1400,Central,INTIMATE PARTNER - SIMPLE ASSAULT,49,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 S  OLIVE                        ST
220120128,2022-09-10,2022-09-10,0150,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,H,GLASS,Adult Other,8TH
221900875,2022-10-26,2022-10-26,2050,Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",44,F,H,PIPE/METAL PIPE,Invest Cont,OSBORNE
221320528,2022-11-06,2022-11-05,1401,Newton,BURGLARY FROM VEHICLE,46,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4900 S  CENTRAL                      AV
230200533,2023-01-27,2023-01-27,0015,Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,54,F,B,VERBAL THREAT,Adult Other,2300 W  3RD                          ST
230108607,2023-03-13,2023-03-13,0800,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,62,F,H,VERBAL THREAT,Invest Cont,500    CROCKER                      ST
230810572,2023-06-07,2023-05-11,1400,West LA,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),6,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,16400    SLOAN                        DR
231707908,2023-04-07,2023-04-07,1100,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),48,M,W,,Invest Cont,8900    RUBIO                        AV
221213758,2022-06-13,2022-06-13,1600,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,49,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1000 W  SLAUSON                      AV
231810995,2023-05-26,2023-05-26,0820,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,H,OTHER CUTTING INSTRUMENT,Adult Arrest,87TH                         PL
220716475,2022-11-11,2022-08-26,1310,Wilshire,THEFT OF IDENTITY,26,M,O,,Invest Cont,100 S  ORLANDO                      AV
232005118,2023-01-31,2023-01-30,1900,Olympic,BURGLARY FROM VEHICLE,60,F,B,,Invest Cont,6TH
230904156,2023-01-05,2023-01-04,1815,Van Nuys,BURGLARY,21,M,H,,Invest Cont,4400    VAN NUYS                     BL
230405047,2023-02-02,2022-03-12,1015,Hollenbeck,THEFT OF IDENTITY,33,F,H,,Invest Cont,2700 E  7TH                          ST
231404791,2023-01-21,2023-01-21,1500,Pacific,"BUNCO, GRAND THEFT",24,M,A,,Invest Cont,5900 W  CENTER                       DR
230510294,2023-06-24,2023-04-24,0545,Harbor,INTIMATE PARTNER - AGGRAVATED ASSAULT,33,F,B,CLUB/BAT,Invest Cont,22600 S  WESTERN                      AV
231205178,2023-01-21,2023-01-21,1830,77th Street,ROBBERY,34,M,H,HAND GUN,Invest Cont,4400 S  FIGUEROA                     ST
230905210,2023-02-03,2023-02-02,1200,Van Nuys,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),53,M,H,,Invest Cont,14500    KESWICK                      ST
230710291,2023-05-31,2023-05-31,0001,Wilshire,BURGLARY,25,M,O,,Invest Cont,1600 S  LA BREA                      AV
221515784,2022-10-05,2022-10-05,1035,N Hollywood,SHOPLIFTING - PETTY THEFT ($950 & UNDER),31,M,O,,Invest Cont,11200    VANOWEN                      ST
221918572,2022-12-30,2022-12-29,1533,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),37,M,H,,Adult Other,9800    WOODALE                      AV
231707144,2023-03-21,2023-03-21,0600,Devonshire,BURGLARY FROM VEHICLE,66,F,W,,Invest Cont,19500    BUSINESS CENTER              DR
230310867,2023-05-14,2023-05-06,2200,Southwest,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),38,F,B,,Invest Cont,2900    9TH                          AV
230407962,2023-05-02,2023-05-01,1700,Hollenbeck,THEFT OF IDENTITY,48,F,H,,Invest Cont,900    SPENCE                       ST
230504906,2023-01-25,2023-01-05,1107,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),38,F,H,,Invest Cont,1400 W  216TH                        ST
221117720,2022-12-21,2022-12-21,1800,Northeast,ATTEMPTED ROBBERY,41,F,W,HAND GUN,Invest Cont,1800    HYPERION                     AV
231505889,2023-02-14,2023-02-13,1830,N Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),55,M,H,,Invest Cont,12200    VANOWEN                      ST
230311213,2023-05-22,2023-05-22,0915,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,F,Z,,Invest Cont,1300 W  ADAMS                        BL
220320677,2022-11-23,2022-11-23,1000,Southwest,BURGLARY,83,F,B,,Invest Cont,3400    HILLCREST                    DR
230700521,2023-01-16,2023-01-16,1610,Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),89,F,B,,Invest Cont,1200    WESTCHESTER                  PL
220713304,2022-08-25,2022-08-25,0530,Wilshire,BURGLARY,78,M,A,,Invest Cont,4000 W  PICO                         BL
231804518,2023-01-08,2023-01-08,1100,Southeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,M,H,,Invest Cont,1300 E  111TH                        ST
230506601,2023-03-12,2023-03-11,0145,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),22,F,H,,Invest Cont,300 W  SANDISON                     ST
222110830,2022-06-21,2022-06-21,1740,Topanga,THEFT OF IDENTITY,21,M,B,,Invest Cont,22900    VICTORY                      BL
220913634,2022-09-09,2022-09-09,0850,Van Nuys,BURGLARY,44,F,H,,Invest Cont,6600    VAN NUYS                     BL
